react.git	1c2876d5b558b8591feb335d8d7204bc46f7da8a	MOVE_RENAME	Program	scripts/rollup/plugins/wrap-warning-with-env-check.js:183-1298	scripts/rollup/plugins/wrap-warning-with-env-check.js	scripts/babel/wrap-warning-with-env-check.js:183-1779	scripts/babel/wrap-warning-with-env-check.js	-1172413528
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.js:141384-142038	setScope	dist/vue.esm.js:135551-135627	setStyleScope	-100366484
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.js:162233-163802	setAttr	dist/vue.js:165272-165996	baseSetAttr	925674854
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/basic.js:250232-250609	checkKeyCodes	dist/vue.common.js:93630-93789	isKeyNotMatch	2057332120
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.esm.js:143362-144016	setScope	dist/vue.common.js:135566-135642	setStyleScope	-415197961
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/basic.js:258474-259330	createFunctionalComponent	dist/vue.common.js:100298-100498	setFunctionalContextForVNode	570060492
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.esm.js:164354-165923	setAttr	dist/vue.common.js:167465-168189	baseSetAttr	1368011181
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.esm.js:143163-143817	setScope	dist/vue.runtime.esm.js:135352-135428	setStyleScope	2114878663
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/build.js:169005-169382	checkKeyCodes	dist/vue.esm.js:93615-93774	isKeyNotMatch	-2066224910
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:91565-91942	checkKeyCodes	dist/vue.runtime.common.js:93487-93646	isKeyNotMatch	-1754311027
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/build.js:177304-178160	createFunctionalComponent	dist/vue.esm.js:100283-100483	setFunctionalContextForVNode	2017571248
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:96881-97737	createFunctionalComponent	dist/vue.js:98940-99140	setFunctionalContextForVNode	758981158
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.esm.js:92880-93257	checkKeyCodes	dist/vue.js:92286-92445	isKeyNotMatch	1614713648
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/basic.js:258474-259330	createFunctionalComponent	dist/vue.runtime.esm.js:100140-100340	setFunctionalContextForVNode	-1941453070
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.common.js:92895-93272	checkKeyCodes	dist/vue.runtime.common.js:93487-93646	isKeyNotMatch	467051610
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:141185-141839	setScope	dist/vue.runtime.common.js:135367-135443	setStyleScope	1241272869
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:162034-163603	setAttr	dist/vue.esm.js:167450-168174	baseSetAttr	-2039939129
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/build.js:169005-169382	checkKeyCodes	packages/vue-server-renderer/build.js:171327-171486	isKeyNotMatch	-1576260766
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/build.js:177304-178160	createFunctionalComponent	dist/vue.js:98940-99140	setFunctionalContextForVNode	-2003711869
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.esm.js:98210-99066	createFunctionalComponent	dist/vue.runtime.esm.js:100140-100340	setFunctionalContextForVNode	1909169555
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	packages/vue-server-renderer/basic.js:250232-250609	checkKeyCodes	dist/vue.esm.js:93615-93774	isKeyNotMatch	264074353
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:96881-97737	createFunctionalComponent	dist/vue.esm.js:100283-100483	setFunctionalContextForVNode	1500280940
