Commit	Ref Type	Entity before	Entity after	RefDiff	Details
https://github.com/icse18-refactorings/eclipse-themes/commit/72f61ec9b85a740fd09d10ad711e275d2ec2e564	Move Class	net.jeeeyul.eclipse.themes.test.e4app.TestView	net.jeeeyul.eclipse.themes.test.e4app.views.TestView	TP	
https://github.com/icse18-refactorings/jodd/commit/722ef9156896248ef3fbe83adde0f6ff8f46856a	Extract Method	jodd.http.HttpBase.formBuffer()	jodd.http.HttpBase.resolveFormEncoding()	FN	?
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Move Class	net.bytebuddy.dynamic.TargetType.TypeVariableProxy	net.bytebuddy.description.type.generic.GenericTypeDescription.Visitor.Substitutor.ForRawType.TypeVariableProxy	FN	?
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Move Class	net.bytebuddy.dynamic.TargetType.TypeVariableProxy.Retaining	net.bytebuddy.description.type.generic.GenericTypeDescription.Visitor.Substitutor.ForRawType.TypeVariableProxy.Retaining	TP	
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Rename Class	net.bytebuddy.dynamic.TargetType.TypeVariableProxy.Extractor	net.bytebuddy.description.type.generic.GenericTypeDescription.Visitor.Substitutor.ForRawType	FP?	?
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Extract Interface	net.bytebuddy.description.type.generic.GenericTypeDescription.Visitor.Substitutor.ForRawType.TypeVariableProxy.Retaining	net.bytebuddy.description.type.generic.GenericTypeDescription.Visitor.Substitutor.ForRawType.TypeVariableProxy	FP?	?
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Pull Up Method	net.bytebuddy.description.type.TypeDescription.getInterfacesGen()	net.bytebuddy.description.type.generic.GenericTypeDescription.getInterfacesGen()	TP	
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Pull Up Method	net.bytebuddy.description.type.TypeDescription.getSuperTypeGen()	net.bytebuddy.description.type.generic.GenericTypeDescription.getSuperTypeGen()	TP	
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Extract Method	net.bytebuddy.dynamic.DynamicType.Builder.AbstractBase.FieldToken.resolveFieldType(TypeDescription)	net.bytebuddy.dynamic.DynamicType.Builder.AbstractBase.FieldToken.resolve(GenericTypeDescription,TypeDescription)	FP	<Blacklisted>
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Extract Method	net.bytebuddy.dynamic.DynamicType.Builder.AbstractBase.MethodToken.resolveReturnType(TypeDescription)	net.bytebuddy.dynamic.DynamicType.Builder.AbstractBase.MethodToken.resolve(GenericTypeDescription,TypeDescription)	FP	<Blacklisted>
