ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4A_loadClass__J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp(JNIEnv):3266-5473,ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4A_loadClass__J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO(JNIEnv):3266-5473,ijkplayer-j4a: rename ijkio androidio,0.9073488074438022
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__open__catchAll(JNIEnv, jobject):1341-1621","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__open__catchAll(JNIEnv, jobject):1341-1621",ijkplayer-j4a: rename ijkio androidio,0.5139421365874708
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__open(JNIEnv, jobject):1136-1339","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__open(JNIEnv, jobject):1136-1339",ijkplayer-j4a: rename ijkio androidio,0.4841614962333879
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,MOVE_RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__seek__catchAll(JNIEnv, jobject, jlong, jint):1456-1574","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.h:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__seek__catchAll(JNIEnv, jobject, jlong, jint):1456-1574",ijkplayer-j4a: rename ijkio androidio,0.937335539809438
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeIjkIOHttp__get__catchAll(JNIEnv, jobject):3651-3965","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeAndroidIO__get__catchAll(JNIEnv, jobject):3651-3965",ijkplayer-j4a: rename ijkio androidio,0.7095132536382261
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__seek__catchAll(JNIEnv, jobject, jlong, jint):2448-2773","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__seek__catchAll(JNIEnv, jobject, jlong, jint):2448-2773",ijkplayer-j4a: rename ijkio androidio,0.2785287240177422
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read(JNIEnv, jobject, jbyteArray, jint):1623-1870","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__read(JNIEnv, jobject, jbyteArray, jint):1623-1870",ijkplayer-j4a: rename ijkio androidio,0.49117563856138
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeIjkIOHttp__set__catchAll(JNIEnv, jobject, jlong):4210-4472","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeAndroidIO__set__catchAll(JNIEnv, jobject, jlong):4210-4472",ijkplayer-j4a: rename ijkio androidio,0.43771388435184677
ijkplayer,a25f13c55bd0f753cafc753ccf82e82aa6664bf1,RENAME_FUNCTION,"ijkmedia/ijkplayer/android/ijkplayer_jni.c:IjkMediaPlayer_setDataSourceIjkIOHttpCallback(JNIEnv, jobject, jobject):7967-8978","ijkmedia/ijkplayer/android/ijkplayer_jni.c:IjkMediaPlayer_setDataSourceAndroidIOCallback(JNIEnv, jobject, jobject):7988-9014",ijkplayer: rename ijkio androidio,0.8311101289140452
ijkplayer,a25f13c55bd0f753cafc753ccf82e82aa6664bf1,RENAME_FUNCTION,"ijkmedia/ijkplayer/android/ijkplayer_jni.c:jni_set_ijkio_http(JNIEnv, jobject, jobject):4345-5225","ijkmedia/ijkplayer/android/ijkplayer_jni.c:jni_set_ijkio_androidio(JNIEnv, jobject, jobject):4345-5246",ijkplayer: rename ijkio androidio,0.05119136224041665
